example_id,inbound_text,prior_turns_json,cluster,sentiment,turn_type,gold_intent,gold_escalate,gold_escalate_reason,reply_checklist,pred_intent,pred_confidence,draft_reply,pred_escalate,pred_escalate_reason
0,"[USER] am jus tryin 2 talk to al mi frens an teh battery die fasta den tdog, ur updates dunt work am sowi. pls","[{""role"": ""user"", ""text"": ""[USER] y u kil my phone? it keep dyin""}, {""role"": ""assistant"", ""text"": ""[USER] We are here to help. What exactly is going on with your phone?""}]",0,negative,multi_turn,battery_power_drain,True,High-risk intent: severe battery drain or power hardware risk requires diagnostic review,Express professional empathy/apology for frustration; Suggest checking Settings > Battery usage breakdown; avoid promising free hardware replacement. Never promise ungrounded facts or ETAs.,,,,,
1,"[USER] Digo hola [USER] Mi IPhone X, un día de uso, presento error en el Face ID y no me permite decir Hola al futuro!! Alguna solución? https://t.co/O4EWhlMxbi","[{""role"": ""user"", ""text"": ""Dile hola al futuro. Compra el iPhone X.""}]",0,negative,multi_turn,non_english_inquiry,True,Routing: non-English language query requires localized human support agent,Express professional empathy/apology for frustration; Acknowledge in language if possible; offer English or route to regional support channel. Never promise ungrounded facts or ETAs.,,,,,
2,"[USER] [USER] Não vejo que recebi msg em nenhum app, nada. Fico o dia todo sem uma notificação sequer","[{""role"": ""user"", ""text"": ""N\u00e3o aguento mais ficar sem notifica\u00e7\u00e3o em todos os apps depois dessa atualiza\u00e7\u00e3o do iOS. Me ajuda ai n\u00e9 [USER] [USER]""}]",0,neutral,multi_turn,non_english_inquiry,True,Routing: non-English language query requires localized human support agent,Acknowledge in language if possible; offer English or route to regional support channel. Never promise ungrounded facts or ETAs.,,,,,
3,[USER] @ tweet depuis son mac qu'elle vient de récupérer avec brio après plus de 5h d'attente et de téléchargement,"[{""role"": ""user"", ""text"": ""Donc mon mac a crasher \u00e0 cause de la nvll mise \u00e0 jour, merci bcp [USER]""}]",0,neutral,multi_turn,non_english_inquiry,True,Routing: non-English language query requires localized human support agent,Acknowledge in language if possible; offer English or route to regional support channel. Never promise ungrounded facts or ETAs.,,,,,
4,[USER] iOS 11: NÃO atualizem. Porcaria bugada que vai detonar a sua bateria em minutos.,"[{""role"": ""user"", ""text"": ""iPhone 8 e iPhone 8 Plus. Uma nova gera\u00e7\u00e3o do iPhone. Em breve.""}]",0,neutral,multi_turn,non_english_inquiry,True,Routing: non-English language query requires localized human support agent,Acknowledge in language if possible; offer English or route to regional support channel. Never promise ungrounded facts or ETAs.,,,,,
5,e ai [USER] da um ajudinha kkk por favor!!!,"[{""role"": ""user"", ""text"": ""toma no cu v\u00e9i, essa porra travou meu celular cabuloso raiva da porra https://t.co/akDBfoaocH""}]",0,positive,multi_turn,non_english_inquiry,True,Routing: non-English language query requires localized human support agent,Acknowledge in language if possible; offer English or route to regional support channel. Never promise ungrounded facts or ETAs.,,,,,
6,[USER] Bestaat er ook een Nederlandse apple support ? #dtv #dutch #apple,"[{""role"": ""user"", ""text"": ""Zo ziet mijn lockscreen eruit. Herstarten helpt niet Als ik unlock en meldingen wil zien krijg ik ook dit. Hoe verhelp ik dit?[USER] https://t.co/Vqb4TyF50t""}, {""role"": ""user"", ""text"": ""[USER] Zie dus ook geen tijd en datum. Heel irritant. Kunnen jullie helpen ?""}]",0,positive,multi_turn,non_english_inquiry,True,Routing: non-English language query requires localized human support agent,Acknowledge in language if possible; offer English or route to regional support channel. Never promise ungrounded facts or ETAs.,,,,,
7,[USER] me ajudem por favor 🤦🏻‍♂️,"[{""role"": ""user"", ""text"": ""Gente s\u00f3 eu que to com problema no Imessenge?""}]",0,positive,multi_turn,non_english_inquiry,True,Routing: non-English language query requires localized human support agent,Acknowledge in language if possible; offer English or route to regional support channel. Never promise ungrounded facts or ETAs.,,,,,
8,Nunca me había quejado de iOS pero esta vez tienen un error con nueva actualización tan mierda se traba el teclado bastante [USER],[],0,negative,single_turn,non_english_inquiry,True,Routing: non-English language query requires localized human support agent,Express professional empathy/apology for frustration; Acknowledge in language if possible; offer English or route to regional support channel. Never promise ungrounded facts or ETAs.,,,,,
9,[USER] donde está la carga rápida que decís que lleva el iPhone X? Con 11.2 y un cargador Quick Charge 3.0 no solo no es más rápida si no más lenta.,[],0,negative,single_turn,non_english_inquiry,True,Routing: non-English language query requires localized human support agent,Express professional empathy/apology for frustration; Acknowledge in language if possible; offer English or route to regional support channel. Never promise ungrounded facts or ETAs.,,,,,
10,"[USER] [USER] c’est quoi vos mise a jour pourrit la !! Depuis ios11, tout bug 😡😡😡 c’est lent",[],0,negative,single_turn,non_english_inquiry,True,Routing: non-English language query requires localized human support agent,Express professional empathy/apology for frustration; Acknowledge in language if possible; offer English or route to regional support channel. Never promise ungrounded facts or ETAs.,,,,,
11,Uygulamalarda ve videolarda ekran donması sorununu da düzeltir mi peki? #ios1111 [USER] [USER] https://t.co/M5xgMf0CBx,[],0,neutral,single_turn,non_english_inquiry,True,Routing: non-English language query requires localized human support agent,Acknowledge in language if possible; offer English or route to regional support channel. Never promise ungrounded facts or ETAs.,,,,,
12,"Hola [USER] Llevo desde junio de 2016 esperando su respuesta a una incidencia en mi iPad, estoy decepcionada con su servicio técnico",[],0,neutral,single_turn,non_english_inquiry,True,Routing: non-English language query requires localized human support agent,Acknowledge in language if possible; offer English or route to regional support channel. Never promise ungrounded facts or ETAs.,,,,,
13,Gracias #iOS11 por acabar con mi #ipod joder mi #iphone junto con [USER] y [USER] [USER] pónganse a trabajar,[],0,neutral,single_turn,non_english_inquiry,True,Routing: non-English language query requires localized human support agent,Acknowledge in language if possible; offer English or route to regional support channel. Never promise ungrounded facts or ETAs.,,,,,
14,[USER] só queria que minhas notificações voltassem a aparecer normalmente 😔,[],0,positive,single_turn,non_english_inquiry,True,Routing: non-English language query requires localized human support agent,Acknowledge in language if possible; offer English or route to regional support channel. Never promise ungrounded facts or ETAs.,,,,,
