example_id,inbound_text,prior_turns_json,cluster,sentiment,turn_type,gold_intent,gold_escalate,gold_escalate_reason,reply_checklist,pred_intent,pred_confidence,draft_reply,pred_escalate,pred_escalate_reason,human_issue_understanding,human_correctness,human_brand_voice,human_actionability,human_escalation_appropriate,human_comment
163,[USER] I have done .2 but when trying to download .3 it keeps freezing.,"[{""role"": ""user"", ""text"": ""[USER] hi - ever since i downloaded the last software update my phone has been freezing and playing up. Is this a known issue?thanks""}, {""role"": ""assistant"", ""text"": ""[USER] We want to make sure your iPhone is reliable. We released iOS 11.0.3 earlier today. Is that what you have installed?""}]",8,negative,multi_turn,app_compatibility_settings,False,Routine inquiry: standard troubleshooting or known self-service workaround available,Express professional empathy/apology for frustration; Advise checking App Store for app updates; recommend reinstalling app if issue persists. Never promise ungrounded facts or ETAs.,conversation_followup_status,0.89,"We'd be glad to help make sure your device is working as expected. To get started, please send us a Direct Message with your device model and current iOS/OS version so we can look into this with you: https://t.co/GDrqU22YpT",False,All escalation rules passed,,,,,,
28,[USER] what’s up with the new iPad keyboard? Make it harder to use? Come on - do better. I don’t want to fight for a “5” instead of a “t”. Y’all this is just bad...,[],1,negative,single_turn,keyboard_text_glitch,False,Routine inquiry: standard troubleshooting or known self-service workaround available,Express professional empathy/apology for frustration; Direct customer to Text Replacement workaround in Settings or latest iOS patch; do not blame customer. Never promise ungrounded facts or ETAs.,keyboard_text_glitch,0.89,"We'd be glad to help make sure your device is working as expected. To get started, please send us a Direct Message with your device model and current iOS/OS version so we can look into this with you: https://t.co/GDrqU22YpT",False,All escalation rules passed,,,,,,
6,[USER] Bestaat er ook een Nederlandse apple support ? #dtv #dutch #apple,"[{""role"": ""user"", ""text"": ""Zo ziet mijn lockscreen eruit. Herstarten helpt niet Als ik unlock en meldingen wil zien krijg ik ook dit. Hoe verhelp ik dit?[USER] https://t.co/Vqb4TyF50t""}, {""role"": ""user"", ""text"": ""[USER] Zie dus ook geen tijd en datum. Heel irritant. Kunnen jullie helpen ?""}]",0,positive,multi_turn,non_english_inquiry,True,Routing: non-English language query requires localized human support agent,Acknowledge in language if possible; offer English or route to regional support channel. Never promise ungrounded facts or ETAs.,app_compatibility_settings,0.89,"We'd be glad to help make sure your device is working as expected. To get started, please send us a Direct Message with your device model and current iOS/OS version so we can look into this with you: https://t.co/GDrqU22YpT",False,All escalation rules passed,,,,,,
189,Confirmed that FileVault is causing my MacBook Pro running High Sierra to crash when the lid is closed.  [USER],[],9,negative,single_turn,macos_hardware_support,True,High-risk intent: Mac hardware/system failure requires hardware specialist,Express professional empathy/apology for frustration; Request Mac model and macOS release; suggest NVRAM/SMC reset or Safe Mode boot; offer Genius Bar option. Never promise ungrounded facts or ETAs.,macos_hardware_support,0.89,"We'd be glad to help make sure your device is working as expected. To get started, please send us a Direct Message with your device model and current iOS/OS version so we can look into this with you: https://t.co/GDrqU22YpT",True,Intent 'macos_hardware_support' is tagged as high-risk,,,,,,
70,"Since installing 11.0.3, Iphone 6s mic &amp; speaker doesn't work for voice calls and Siri :( Internet calls are ok though. Help [USER]",[],2,positive,single_turn,software_update_ios,True,High-risk intent: OS update defect/regression requires support ticket,Clarify current iOS version; confirm backup status before updating; link to update knowledgebase article. Never promise ungrounded facts or ETAs.,connectivity_network_issue,0.89,"We'd be glad to help make sure your device is working as expected. To get started, please send us a Direct Message with your device model and current iOS/OS version so we can look into this with you: https://t.co/GDrqU22YpT",False,All escalation rules passed,,,,,,
62,"[USER] after updating my iPhone 7 to iOS 11.0.3 and iCloud restore, all my photos are missing. “updating” has no progress. https://t.co/1sEAmtKxxb",[],2,negative,single_turn,account_icloud_store,True,High-risk intent: account security/data loss concern requires verified human intervention,Express professional empathy/apology for frustration; Never ask for passwords or full card numbers; direct to secure Apple ID portal or private DM. Never promise ungrounded facts or ETAs.,software_update_ios,0.89,"We'd be glad to help make sure your device is working as expected. To get started, please send us a Direct Message with your device model and current iOS/OS version so we can look into this with you: https://t.co/GDrqU22YpT",True,Intent 'software_update_ios' is tagged as high-risk,,,,,,
57,[USER] My phone has frozen on this new IOS and i couldnt enter any app until i https://t.co/hyUcQ9os1M photos arent recovering !!!,"[{""role"": ""assistant"", ""text"": ""Keep your eyes on the road, not on your #iPhone. Use Do Not Disturb While Driving to limit notifications. https://t.co/CQfnicS7WD""}]",2,neutral,multi_turn,device_os_glitch,True,High-risk intent: device OS freezing/instability requires technical tier-2 escalation,Acknowledge severe glitch; recommend force restart steps; ask for exact iOS version; direct to DM. Never promise ungrounded facts or ETAs.,app_compatibility_settings,0.89,"We'd be glad to help make sure your device is working as expected. To get started, please send us a Direct Message with your device model and current iOS/OS version so we can look into this with you: https://t.co/GDrqU22YpT",False,All escalation rules passed,,,,,,
35,[USER] iOS 11 and I've tried all the tips. Sometimes battery goes from 100 to 80 percent in 15 minutes. Without any special activity,"[{""role"": ""user"", ""text"": ""[USER] Hi there, I think that my iP6s's battery drains too fast. Is there a way to check battery health?""}, {""role"": ""assistant"", ""text"": ""[USER] We'd love to help. Which iOS version are you using? Also, have you had a chance to try the tips here: https://t.co/bivpdfBNJ6""}]",10,negative,multi_turn,battery_power_drain,True,High-risk intent: severe battery drain or power hardware risk requires diagnostic review,Express professional empathy/apology for frustration; Suggest checking Settings > Battery usage breakdown; avoid promising free hardware replacement. Never promise ungrounded facts or ETAs.,battery_power_drain,0.89,"We'd be glad to help make sure your device is working as expected. To get started, please send us a Direct Message with your device model and current iOS/OS version so we can look into this with you: https://t.co/GDrqU22YpT",True,Intent 'battery_power_drain' is tagged as high-risk,,,,,,
188,"Paid over $1,400 for a MacBook Pro and it doesn't even have a SINGLE USB port. 🤦🏻‍♀️ wtf [USER] https://t.co/RwxlCYMIRu",[],9,negative,single_turn,macos_hardware_support,True,High-risk intent: Mac hardware/system failure requires hardware specialist,Express professional empathy/apology for frustration; Request Mac model and macOS release; suggest NVRAM/SMC reset or Safe Mode boot; offer Genius Bar option. Never promise ungrounded facts or ETAs.,macos_hardware_support,0.89,"We'd be glad to help make sure your device is working as expected. To get started, please send us a Direct Message with your device model and current iOS/OS version so we can look into this with you: https://t.co/GDrqU22YpT",True,Intent 'macos_hardware_support' is tagged as high-risk,,,,,,
26,[USER] fix this update! I’m tired of seeing I️ every time I️ type the letter i.,[],1,negative,single_turn,keyboard_text_glitch,False,Routine inquiry: standard troubleshooting or known self-service workaround available,Express professional empathy/apology for frustration; Direct customer to Text Replacement workaround in Settings or latest iOS patch; do not blame customer. Never promise ungrounded facts or ETAs.,keyboard_text_glitch,0.89,"We'd be glad to help make sure your device is working as expected. To get started, please send us a Direct Message with your device model and current iOS/OS version so we can look into this with you: https://t.co/GDrqU22YpT",False,All escalation rules passed,,,,,,
